train_ids,valid_ids,test_ids
14-219,14-276,14-251
14-288,14-101,14-150
14-246,14-229,14-189
14-270,14-40,14-225
14-36,14-37,14-160
14-166,14-100,14-17
14-71,14-209,14-266
14-210,14-174,14-91
14-29,14-89,14-128
14-55,14-77,14-79
14-124,14-255,14-108
14-155,14-104,14-26
14-245,14-184,14-176
14-63,14-265,14-289
14-15,14-279,14-161
14-218,14-156,14-230
14-283,14-164,14-217
14-25,14-57,14-38
14-215,14-82,14-182
14-242,14-213,14-105
14-132,14-203,14-6
14-14,14-248,14-5
14-9,14-212,14-198
14-278,14-83,14-24
14-256,14-47,14-162
14-263,14-44,14-60
14-268,14-185,14-231
14-88,14-275,14-195
14-32,14-274,14-154
14-171,14-72,14-6
14-277,14-220,14-115
14-187,14-169,14-48
14-269,14-249,14-197
14-281,14-33,14-122
14-273,14-4,14-208
14-127,14-135,14-56
14-90,14-193,14-81
14-190,14-102,14-159
14-73,14-165,14-22
14-98,14-254,14-191
14-59,14-271,14-93
14-194,14-178,14-136
14-236,14-163,14-186
14-257,,14-177
14-259,,14-234
14-107,,14-204
14-66,,14-228
14-206,,14-180
14-133,,14-34
14-30,,14-74
14-227,,14-172
14-250,,14-0
14-173,,14-85
14-41,,14-153
14-65,,14-51
14-188,,14-62
14-70,,14-157
14-179,,
14-20,,
14-214,,
14-27,,
14-151,,
14-152,,
14-237,,
14-111,,
14-201,,
14-86,,
14-64,,
14-103,,
14-238,,
14-284,,
14-10,,
14-221,,
14-241,,
14-137,,
14-253,,
14-199,,
14-168,,
14-4,,
14-243,,
14-287,,
14-232,,
14-192,,
14-134,,
14-119,,
14-294,,
14-53,,
14-78,,
14-69,,
14-252,,
14-282,,
14-112,,
14-202,,
14-117,,
14-31,,
14-286,,
14-293,,
14-239,,
14-1,,
14-131,,
14-235,,
14-50,,
14-67,,
14-240,,
14-285,,
14-262,,
14-92,,
14-138,,
14-9,,
14-87,,
14-205,,
14-23,,
14-54,,
14-244,,
14-292,,
14-170,,
14-126,,
14-8,,
14-290,,
14-21,,
14-183,,
14-1,,
14-226,,
14-200,,
14-216,,
14-222,,
14-13,,
14-139,,
14-125,,
14-5,,
14-68,,
14-11,,
14-224,,
14-158,,
14-116,,
14-223,,
14-123,,
14-109,,
14-258,,
14-211,,
14-76,,
14-49,,
14-39,,
14-113,,
14-80,,
14-2,,
14-3,,
14-167,,
14-45,,
14-58,,
14-295,,
14-120,,
14-114,,
14-247,,
14-260,,
14-18,,
14-28,,
14-99,,
14-196,,
14-130,,
14-96,,
14-272,,
14-181,,
14-110,,
14-175,,
14-261,,
14-121,,
14-75,,
14-106,,
14-35,,
14-42,,
14-207,,
14-129,,
14-7,,
14-267,,
14-233,,
14-118,,
14-280,,
14-291,,
14-97,,
14-46,,
14-61,,
14-94,,
14-84,,
